id,text,url,mixtral,processed_gpe,predicted_model,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm_1,local_path
00073.jsonl.gz-9028527,W9011A China portable outhouse indoor chemical toilet sanitary,http://sc01.alicdn.com/kf/HTB18fudLXXXXXcNXFXXq6xXFXXXJ/W9011A-China-portable-outhouse-indoor-chemical-toilet.jpg_220x220.jpg,china,China,sm,"united states_tanzania, united republic of_malawi_peru_mozambique_nepal_ghana_angola_chile_philippines_zambia_brazil_russian federation_cuba_taiwan_china_pakistan_nigeria_mexico_japan",True,china,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00073.jsonl.gz-9028527.jpg
00114.jsonl.gz-179396,Columbia julian a pet red howler monkey uses the toilet in la pintada rtr1mbuf,https://livedoor.blogimg.jp/bionline/imgs/a/a/aa850346.jpg,colombia,la pintada,sm,"mexico_colombia_argentina_peru_bolivia, plurinational state of_panama_nicaragua_honduras_guatemala",True,colombia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00114.jsonl.gz-179396.jpg
00004.jsonl.gz-10847993,"Julian, a pet Red Howler monkey (Alouatta seniculus), uses the toilet in La Pintada, Antioquia province, Colombia February 12, 2007. (Photo by Albeiro Lopera/Reuters)",http://img.gagdaily.com/uploads/posts/fact/2013/thumbs/0000f8b0_medium.jpg,colombia,Antioquia province_Colombia,sm,"cuba_mexico_italy_peru_bolivia, plurinational state of_south africa_venezuela, bolivarian republic of_honduras_bonaire, sint eustatius and saba_colombia",True,colombia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00004.jsonl.gz-10847993.jpg
00037.jsonl.gz-16151311,"Julian, a pet red howler monkey, uses the toilet in La Pintada, Antioquia province, Colombia February 12, 2007",https://img-fotki.yandex.ru/get/9359/107248342.84/0_de80b_77fe2636_orig.jpg,colombia,Antioquia province_Colombia,sm,"cuba_mexico_italy_peru_bolivia, plurinational state of_south africa_venezuela, bolivarian republic of_honduras_bonaire, sint eustatius and saba_colombia",True,colombia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00037.jsonl.gz-16151311.jpg
00051.jsonl.gz-14798290,Hotel Tamarindo Diria: Sink area (shower and toilet to the left behind door),https://media-cdn.tripadvisor.com/media/photo-s/05/ff/d4/6d/hotel-tamarindo-diria.jpg,costa rica,tamarindo diria: (shower door),,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00051.jsonl.gz-14798290.jpg
00024.jsonl.gz-17951380,"Occidental Grand Papagayo by Barcelo: Bathroom- shower, old toilet",https://media-cdn.tripadvisor.com/media/photo-s/05/ff/d9/f5/occidental-grand-papagayo.jpg,costa rica,Barcelo,md,cuba_united states_morocco_mexico,True,costa rica,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00024.jsonl.gz-17951380.jpg
00122.jsonl.gz-6910523,"Four Seasons Resort Costa Rica at Peninsula Papagayo: super clean room, two sinks, separate toilet (to the left)",https://media-cdn.tripadvisor.com/media/photo-s/0b/aa/38/78/super-clean-room-two.jpg,costa rica,Costa Rica_Peninsula Papagayo,sm,"cuba_mexico_costa rica_argentina_peru_bolivia, plurinational state of_paraguay_el salvador_ecuador_chile_philippines_colombia_brazil",True,costa rica,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00122.jsonl.gz-6910523.jpg
00075.jsonl.gz-17501173,Apartments Donat: Shower room and toilet,https://media-cdn.tripadvisor.com/media/photo-s/04/ab/51/a5/apartments-donat.jpg,croatia,apartments donat:,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00075.jsonl.gz-17501173.jpg
00112.jsonl.gz-7516171,Toilet - Apartment A-11379-a - Apartments Stanići (Omiš) - 11379,https://s3-eu-west-1.amazonaws.com/vacation-croatia/data/objekti/11379/jedinice/A-11379-a/s_kupatilo2_1.jpg,croatia,- a-11379-a - apartments stanići (omiš) - 11379,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00112.jsonl.gz-7516171.jpg
00117.jsonl.gz-4710131,Toilet - Apartment A-11060-a - Apartments Banjol (Rab) - 11060,https://vacation-croatia.s3.amazonaws.com/data/objekti/11060/jedinice/A-11060-a/s_kupatilo2_2.jpg,croatia,Banjol,trf,croatia,False,croatia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00117.jsonl.gz-4710131.jpg
00046.jsonl.gz-6619765,Ceramic Relief Relief - Toilet Stories #9 by Carlos Enrique Prado,https://render.fineartamerica.com/images/rendered/search/print/images-medium-5/toilet-stories-9-carlos-enrique-prado.jpg,cuba,- stories #9 enrique prado,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00046.jsonl.gz-6619765.jpg
00033.jsonl.gz-10377537,"Most toilets on Cuba do not seem to have toilet seats and toilet paper, such as at this AirBnB in Havana.",https://felixwong.com/gallery/thumbs/n/no-toilet-seat-cuba.jpg,cuba,Cuba_Havana,sm,"united states_peru_netherlands_venezuela, bolivarian republic of_mozambique_egypt_ecuador_norway_portugal_angola_chile_philippines_dominican republic_cuba_burundi_china_bolivia, plurinational state of_south africa_eritrea_australia_costa rica_colombia_zimbabwe_mexico_italy_puerto rico",True,cuba,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00033.jsonl.gz-10377537.jpg
00109.jsonl.gz-11720820,Cuba Combination Unit with Calder Back to Wall Toilet,https://www.betterbathrooms.com/files/betterbathrooms/media/catalog/product/cache/1/small_image/217x/9df78eab33525d08d6e5fb8d27136e95/0/0/006_cad_ww_short_1_1.jpg,cuba,Cuba,sm,"united states_peru_netherlands_venezuela, bolivarian republic of_mozambique_ecuador_norway_portugal_angola_chile_philippines_dominican republic_cuba_burundi_china_bolivia, plurinational state of_south africa_eritrea_costa rica_colombia_zimbabwe_mexico_italy_puerto rico",True,cuba,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00109.jsonl.gz-11720820.jpg
00024.jsonl.gz-2209207,A typical example of a dual-flush toilet in Cyprus.,https://usercontent2.hubstatic.com/13193627_f520.jpg,cyprus,Cyprus,sm,sri lanka_cyprus_south africa_jamaica_zimbabwe,True,cyprus,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00024.jsonl.gz-2209207.jpg
00074.jsonl.gz-6429388,Disabled toilet facilities in Cyprus,http://www.windowoncyprus.com/images/apart_shower3_small.jpg,cyprus,Cyprus,sm,sri lanka_cyprus_south africa_jamaica_zimbabwe,True,cyprus,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00074.jsonl.gz-6429388.jpg
00098.jsonl.gz-2075031,Disabled toilet facilities in Cyprus,http://www.windowsoncyprus.com/images/apart_shower3_small.jpg,cyprus,Cyprus,sm,sri lanka_cyprus_south africa_jamaica_zimbabwe,True,cyprus,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00098.jsonl.gz-2075031.jpg
00064.jsonl.gz-16703818,"Spacious two bedroom apartment with a terrace, Prague - toilet",https://www.forstudents.cz/getattachment/10b03f50-12ce-4a5f-ac8a-c678b927b649/toilet.jpg?maxsidesize=250,czech republic (czechia),Prague,sm,united states_czechia_south africa_ukraine_australia_philippines,True,czech republic,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00064.jsonl.gz-16703818.jpg
00078.jsonl.gz-4841868,Toilet On The Prague To Vienna Train,https://www.renegadetravels.com/wp-content/uploads/2015/03/prague-to-vienna-train-6.jpg,czech republic (czechia),Prague_Vienna,trf,canada_united states_italy_czechia_south africa_ukraine_greece_australia_austria_philippines,True,czech republic,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00078.jsonl.gz-4841868.jpg
00076.jsonl.gz-5843593,"Unique Toilet in Fisheye - Bohemia, Czech Republic",https://photos.smugmug.com/Europe/Czech-Republic/Czech-Countryside/i-LtTPdLb/0/f3838bc8/L/2780522801_d683c64278_o-L.jpg,czech republic (czechia),Czech Republic,sm,czech republic,False,czech republic,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00076.jsonl.gz-5843593.jpg
00043.jsonl.gz-8843139,"The family shares one main bathroom, which is outfitted with Vipp's new line of products: 982 bath furniture, a 906 faucet, and a 992 mirror. The shower sports a Raindance Connect showerhead by Hansgrohe, and there is a wall-mounted toilet by Villeroy & Boch. The Nomad light fixture is from Modular Lighting Instruments, and the floors are topped with ceramic tiles by LaFaenza.  Storage by Dwell from Converted Loft Fit for a Modern Family in Copenhagen",https://d3df8ea8ea59eq.cloudfront.net/photos/6063391372700811264/6133461432521330688/large.jpg,denmark,Copenhagen,trf,canada_united states_south africa_denmark_australia_philippines,True,denmark,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00043.jsonl.gz-8843139.jpg
00037.jsonl.gz-3189983,"Rosenborg Castle #Copenhagen #Denmark has 2 throne rooms, one for public display with a Throne Chair in Long Hall, and this different throne, a toilet in a room decorated with Dutch tiles #CLS #WorldToiletDay zazzle.com/z/p06r2?rf=238… Zazzle Special Offers: zazzle.com/coupons?rf=238…",https://pbs.twimg.com/media/EJvMy2QW4AIi2rf.jpg,denmark,Denmark_zazzle.com/coupons?rf=238,sm,canada_united states_sri lanka_south africa_denmark_australia_philippines_zimbabwe,True,denmark,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00037.jsonl.gz-3189983.jpg
00039.jsonl.gz-10090031,"Sofie and Frank built a box around an ordinary glass fiber shell bathtub, then covered it in a mosaic of shower tiles. Natural light from a large dormer window gives the tiles an almost iridescent glow. The toilet is Duravit. Black, White, and Gray All Over: Monochromatic Copenhagen Townhouse - Photo 10 of 12",https://d3df8ea8ea59eq.cloudfront.net/photos/6063391372700811264/6133443165027176448/large.jpg,denmark,Duravit,sm,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00039.jsonl.gz-10090031.jpg
00106.jsonl.gz-12559431,Dominica Wall Hung Toilet with Soft Close Seat,https://img.tapwarehouse.com/products/mincio_wall_mounted_update.jpg?height=305&width=305&mode=none&scale=downscaleonly,dominica,Dominica,md,cuba_dominica_panama_costa rica_dominican republic,True,dominica,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00106.jsonl.gz-12559431.jpg
00049.jsonl.gz-5069306,Dominica Wall Hung Toilet with Soft Close Seat,https://img.tapwarehouse.com/products/mincio_wall_mounted_update.jpg?height=380&width=380&mode=none&scale=downscaleonly&quality=80,dominica,Dominica,md,cuba_dominica_panama_costa rica_dominican republic,True,dominica,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00049.jsonl.gz-5069306.jpg
00087.jsonl.gz-12305108,Dominica Wall Hung Toilet & Soft Close Seat - 510mm Projection,https://images.drench.co.uk/products/dominica-wall-toilet-soft-close-seat-510mm.jpg?height=380&width=380&mode=none&scale=downscaleonly&quality=80,dominica,Dominica,md,cuba_dominica_panama_costa rica_dominican republic,True,dominica,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00087.jsonl.gz-12305108.jpg
00106.jsonl.gz-2445320,Sadosa Standard Toilet In Dominican Republic Youtube,https://i.ytimg.com/vi/MlukO9yewkM/maxresdefault.jpg,dominican republic,Dominican Republic Youtube,sm,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00106.jsonl.gz-2445320.jpg
00065.jsonl.gz-5157225,Catalonia Royal Bavaro: Robes and slippers hang over toilet,https://media-cdn.tripadvisor.com/media/photo-s/06/12/ae/f7/catalonia-royal-bavaro.jpg,dominican republic,Catalonia,trf,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00065.jsonl.gz-5157225.jpg
00120.jsonl.gz-5643637,Hotel Majestic Colonial Punta Cana: vanity area with door to walk in shower and door to toilet,https://media-cdn.tripadvisor.com/media/photo-s/03/31/3a/54/majestic-colonial-punta.jpg,dominican republic,cana:,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00120.jsonl.gz-5643637.jpg
00096.jsonl.gz-15190607,"Keyla, 4, by her toilet in Bolivar, Ecuador. Photography Karla Gachet. Panos Pictures for WSUP.",https://sanitationupdates.files.wordpress.com/2014/11/equardor1.jpg?w=990&amp;h=180&amp;crop=1,ecuador,Bolivar_Ecuador,sm,"mexico_united states_italy_cuba_peru_bolivia, plurinational state of_venezuela, bolivarian republic of_australia_ecuador_el salvador_chile_philippines_colombia",True,ecuador,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00096.jsonl.gz-15190607.jpg
00101.jsonl.gz-8459692,"Keyla, 4, by her toilet in Bolivar, Ecuador. Photography Karla Gachet. Panos Pictures for WSUP.",https://sanitationupdates.files.wordpress.com/2014/11/equardor1.jpg?w=500&h=333,ecuador,Bolivar_Ecuador,sm,"mexico_united states_italy_cuba_peru_bolivia, plurinational state of_venezuela, bolivarian republic of_australia_ecuador_el salvador_chile_philippines_colombia",True,ecuador,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00101.jsonl.gz-8459692.jpg
00042.jsonl.gz-9800783,Meme Toilet - put me like a water saving toilet in quito flushes when you was,http://t0.gstatic.com/images?q=tbn:ANd9GcQlbdSKbvsyKsup8qDqDG8fC4g7OlkmTwKLREL6VTrjJpxu_LSGvg,ecuador,quito,sm,cuba_united states_mexico_peru_angola_panama_ecuador_chile_colombia,True,ecuador,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00042.jsonl.gz-9800783.jpg
00032.jsonl.gz-8157938,Washdown toilet sanitary ware prices in egypt,https://img.weyesimg.com/collection/151ba3f7db1a42dd4c23fa9c842ea697/bba01af64d9fce6e2e00542c2b20e564.jpg?imageView2/2/w/955/q/75,egypt,egypt,sm,canada_united states_south africa_jamaica_belize_egypt_united kingdom_zimbabwe,True,egypt,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00032.jsonl.gz-8157938.jpg
00114.jsonl.gz-13205344,Ceramic Women WC Toilet Sanitary Ware Prices in Egypt,http://sc02.alicdn.com/kf/HTB1bXoMLXXXXXXzXFXXq6xXFXXX6/Ceramic-Women-WC-Toilet-Sanitary-Ware-Prices.jpg_220x220.jpg,egypt,Egypt,sm,canada_united states_south africa_jamaica_belize_egypt_united kingdom_zimbabwe,True,egypt,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00114.jsonl.gz-13205344.jpg
00057.jsonl.gz-5404371,Sea Club Resort - Sharm el Sheikh: very clean toilet,https://media-cdn.tripadvisor.com/media/photo-s/02/e6/68/f2/sea-club-resort-sharm.jpg,egypt,Sharm el Sheikh,trf,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00057.jsonl.gz-5404371.jpg
00117.jsonl.gz-3106588,toilet-with-great-view-ferry-tallinn-estonia-helsinki-finland-europe-inside-post,https://travelmorelive.files.wordpress.com/2016/06/toilet-with-great-view-ferry-tallinn-estonia-helsinki-finland-europe-inside-post.jpg?w=470&,estonia,finland,sm,canada_united states_finland_south africa_sweden_philippines_zimbabwe_norway,True,estonia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00117.jsonl.gz-3106588.jpg
00002.jsonl.gz-6405456,toilet-with-great-view-ferry-tallinn-estonia-helsinki-finland-europe-inside-post,https://travelmorelive.files.wordpress.com/2016/06/toilet-with-great-view-ferry-tallinn-estonia-helsinki-finland-europe-inside-post.jpg?w=470&h=264,estonia,finland,sm,canada_united states_finland_south africa_sweden_philippines_zimbabwe_norway,True,estonia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00002.jsonl.gz-6405456.jpg
00086.jsonl.gz-2036082,"Ethiopia golden dragon sanitary ware, one piece toilet, floor trap toilet with 250mm,300mm",http://sc02.alicdn.com/kf/HTB1r21kKpXXXXciXVXXq6xXFXXXx/Ethiopia-golden-dragon-sanitary-ware-one-piece.jpg_220x220.jpg,ethiopia,Ethiopia,sm,ethiopia_australia,True,ethiopia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00086.jsonl.gz-2036082.jpg
00012.jsonl.gz-4664269,"Printed Bath Rug Set,Rasta,African Ethiopian Culture Wild Lion Head Grunge Style Flag Colors Decorative,Brown Marigold Pink and Green,Bath mat Set Round-Shaped Toilet Mat Area Rug Toilet Lid Covers 3",https://images-na.ssl-images-amazon.com/images/I/51gQAEDt7UL._SL160_.jpg,ethiopia,"set,rasta,african grunge decorative,brown green,bath round-shaped covers 3",,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00012.jsonl.gz-4664269.jpg
00046.jsonl.gz-5171413,Addis Swivel Toilet Roll Holder,https://cdn.bmstores.co.uk/images/hpcProductImage/imgThumbResponsive/332855-addis-swivel-roll-holders.jpg,ethiopia,addis,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00046.jsonl.gz-5171413.jpg
00032.jsonl.gz-6563022,"""""""19.5 1999 Stockmann department store, 7th floor toilet, male, cause of death: Heroin overdose"""", 2002, 80 x 100cm, c-print, diasec, ed. 6""",http://www.joukolehtola.com/wp/wp-content/uploads/cache/2017/06/od005/687373498.jpg,finland,"""""""19.5 1999 stockmann store, 7th toilet, male, death: overdose"""", 2002, 80 100cm, c-print, diasec, ed. 6""",,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00032.jsonl.gz-6563022.jpg
00005.jsonl.gz-10039764,Kotka: Museum starts with the toilet | Go Finland | Finland | Scoop.it,http://img.scoop.it/Qs3bUOMT1kQR5H4Pfs5gCDl72eJkfbmt4t8yenImKBVvK0kTmF0xjctABnaLJIm9,finland,Go Finland_Finland,sm,canada_united states_finland_south africa_sweden_philippines_zimbabwe_norway,True,finland,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00005.jsonl.gz-10039764.jpg
00036.jsonl.gz-733025,"Suihkuseinä, turkoosi laatta - Kastellin Plazia, suihku Turquoise Tile, Laundry Room Inspiration, Bath Time, Toilet, Bathtub, Luxury, Bathroom Ideas, Villa, Bath",https://i.pinimg.com/236x/08/bf/bb/08bfbbaf307901cb46071959f07618bd--sauna-bathroom-ideas.jpg,finland,Bathtub,sm,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00036.jsonl.gz-733025.jpg
00044.jsonl.gz-11972505,"3PCS Bathroom Stickers Set, Indexp Non-Slip Retro Eiffel Tower Pedestal Rug + Lid Toilet Cover + Bath Mat Home Decoration Gift",https://cdn1.fishpond.co.nz/0169/136/656/508821499/5.jpeg,france,"3pcs set, indexp non-slip retro eiffel + +",,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00044.jsonl.gz-11972505.jpg
00044.jsonl.gz-14580694,"Korsika Close Coupled Toilet Pan, Cistern & Soft Close Seat",https://cdn.shopify.com/s/files/1/0035/1633/4147/products/POT66.KO_41903227-819b-4014-9659-935d00fc305c_512x511.jpg?v=1537973968,france,"korsika pan, &",,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00044.jsonl.gz-14580694.jpg
00122.jsonl.gz-9996371,"En suite bathroom with a shower, sink and toilet at Saint-Bris vacation rental",https://www.parisperfect.com/g/photos/apartments/org_saint-bris-first-bathroom-2.jpg,france,"shower, saint-bris",,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00122.jsonl.gz-9996371.jpg
00098.jsonl.gz-18059774,The Skit contains a composting toilet and shower (Image: Dachi Papuashvili),https://i.pinimg.com/236x/36/32/99/363299d12216175ad15ed19c9d047837.jpg,georgia,contains composting (image: dachi papuashvili),,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00098.jsonl.gz-18059774.jpg
00095.jsonl.gz-13272100,Georgia Family Toilet Seat Saver Pack,https://www.familyseat.com/image/cache/data/georgia-family-seat-free-pnp-600x600.jpg,georgia,Georgia,sm,united states_south africa_jamaica_georgia_greece_guyana_zimbabwe,True,georgia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00095.jsonl.gz-13272100.jpg
00072.jsonl.gz-383162,Fresssh Georgia Plus Back-to-Wall Toilet Pan with Soft Close Seat,https://www.heatandthings.com/wp-content/uploads/2019/10/139854036-600x600.jpg,georgia,Georgia,trf,united states_south africa_jamaica_georgia_greece_guyana_zimbabwe,True,georgia,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00072.jsonl.gz-383162.jpg
00097.jsonl.gz-11542042,Darling New Dual Flush Round Toilet Bowl by Duravit,https://secure.img1-ag.wfcdn.com/im/83006877/resize-h600-w600%5Ecompr-r85/2368/23685663/darling-new-dual-flush-round-toilet-bowl.jpg,germany,Duravit,sm,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00097.jsonl.gz-11542042.jpg
00001.jsonl.gz-5400084,Wholesale Germany Levin Park Building Materials split TOTO toilet CW680B SWN680B toilet Deluxe bath authentic,http://www.dhresource.com/200x200s/f2-albu-g2-M00-6E-29-rBVaGlamn9OAM9nuAAI9Z72UMUg218.jpg/germany-levin-park-building-materials-split.jpg,germany,Wholesale_Germany_Deluxe,sm,canada_united states_germany_belarus_philippines,True,germany,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00001.jsonl.gz-5400084.jpg
00073.jsonl.gz-6475284,Starck 2 1.28 GPF Water Efficient Elongated Two-Piece Toilet (Seat Not Included) by Duravit,https://secure.img1-ag.wfcdn.com/im/25504141/resize-h600-w600%5Ecompr-r85/8571/8571495/starck-2-1.28-gpf-water-efficient-elongated-two-piece-toilet-(seat-not-included).jpg,germany,Duravit,sm,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00073.jsonl.gz-6475284.jpg
00126.jsonl.gz-13155742,Composting toilet with wood shavings at Escape3Points Ecolodge Ghana,https://i1.wp.com/beachmeter.com/wp-content/uploads/2017/08/Composting_toilet.jpg?fit=300%2C225,ghana,Ghana,sm,"ghana_tanzania, united republic of_india_pakistan_nigeria",True,ghana,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00126.jsonl.gz-13155742.jpg
00067.jsonl.gz-7890189,Fine Export To Ghana Two Piece Wc Toilet Soft Close Seat Cover Close Couple Toilet Wc Buy Ghana Wc Toilet Close Couple Toilet Wc Ghana Two Piece Wc Creativecarmelina Interior Chair Design Creativecarmelinacom,https://sc01.alicdn.com/kf/HTB1y2bmaE_rK1Rjy0Fcq6zEvVXaO/Export-to-ghana-two-piece-wc-toilet.jpg,ghana,Ghana_Ghana,sm,"ghana_tanzania, united republic of_india_pakistan_nigeria",True,ghana,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00067.jsonl.gz-7890189.jpg
00037.jsonl.gz-9789590,"30,000 Households In Greater Kumasi To Benefit From Modern Toilet Facilities",https://www.ghanamma.com/wp-content/uploads/2021/09/PHOTO-2020-09-22-15-18-01.jpg,ghana,Kumasi,trf,philippines_ghana,True,ghana,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00037.jsonl.gz-9789590.jpg
00110.jsonl.gz-11654537,Toilet on board a Greek train from Athens to Kalambaka.,https://toilet-guru.com/pictures/greece-train-dscf1603.jpg,greece,Athens_Kalambaka,sm,canada_united states_south africa_greece_saint lucia_philippines_zimbabwe,True,greece,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00110.jsonl.gz-11654537.jpg
00127.jsonl.gz-4847371,leoni apartment toilet skala maries thassos,https://nikana.gr/images/1573/thumb_leoni-apartment-toilet-skala-maries-thassos.jpg,greece,leoni skala maries thassos,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00127.jsonl.gz-4847371.jpg
00004.jsonl.gz-9682702,"Kampos Village Resort: The bathroom, with the shower curtain almost IN the toilet..",https://media-cdn.tripadvisor.com/media/photo-s/01/9a/fc/55/the-bathroom-with-the.jpg,greece,"kampos resort: bathroom, toilet..",,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00004.jsonl.gz-9682702.jpg
00035.jsonl.gz-862038,"Yellow caution tape warns patrons of a non-working toilet stall as Dom's Maintenance worker Ren Esiel cleans within the women's restroom facility, near the Inarajan Natural Pools, on Thursday, May 16, 2019. Since May 1, the maintenance company has provided a worker to supply the restrooms and maintain the daily upkeep of the building from 9:00 a.m. to 5:00 p.m., said owner Dominic San Gil. But due to a minor plumbing issue, the stall was closed off until repairs can be performed by Department of Parks and Recreation personnel, San Gil added.","https://www.gannett-cdn.com/authoring/2019/05/16/PGUA/bbaf7566-3fd1-41fb-9a7b-c8f466b35511-Southern_Bathrooms_01.JPG?crop=5267,3950,x505,y0&amp;width=80&amp;height=60&amp;fit=bounds",guam,San Gil,sm,mexico_spain_guatemala_ecuador_colombia,True,(country name/no)'. the output should only be 'no' or the name of the country. output: guam,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00035.jsonl.gz-862038.jpg
00118.jsonl.gz-345984,"Yellow caution tape warns patrons of a non-working toilet stall as Dom's Maintenance worker Ren Esiel cleans within the women's restroom facility, near the Inarajan Natural Pools, on Thursday, May 16, 2019. Since May 1, the maintenance company has provided a worker to supply the restrooms and maintain the daily upkeep of the building from 9:00 a.m. to 5:00 p.m., said owner Dominic San Gil. But due to a minor plumbing issue, the stall was closed off until repairs can be performed by Department of Parks and Recreation personnel, San Gil added.",https://www.gannett-cdn.com/authoring/2019/05/16/PGUA/bbaf7566-3fd1-41fb-9a7b-c8f466b35511-Southern_Bathrooms_01.JPG?width=540&amp;height=&amp;fit=bounds&amp;auto=webp,guam,San Gil,sm,mexico_spain_guatemala_ecuador_colombia,True,(country name/no)'. the output should only be 'no' or the name of the country. output: guam,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00118.jsonl.gz-345984.jpg
00126.jsonl.gz-13497404,Toilet/Bathroom shot of Guam Reef and Olive Hotel,https://i1.wp.com/farm5.staticflickr.com/4361/36572120002_fdc506d35c_z.jpg?resize=613%2C396&,guam,toilet/bathroom guam,,no,False,no,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00126.jsonl.gz-13497404.jpg
00066.jsonl.gz-10397667,"A toilet block at a school in Guatemala. Pictured here are designated sections for girls, boys, preschoolers, and teachers.",https://photos.smugmug.com/Waterforpeoplegallery/i-LM7Q9nW/0/55ffa439/S/Guat_020415%20%2813%20of%20127%29%20%281%29%20%281%29-S.jpg,guatemala,Guatemala,sm,"cuba_colombia_guatemala_bonaire, sint eustatius and saba_costa rica_french guiana_dominican republic",True,guatemala,1,/data2/abhipsa/geographical-profiling-static/data/image_folders/toilet_region_balanced_images/00066.jsonl.gz-10397667.jpg
